Record Type,Symbol,Grant Date,Settlement Type,Granted Qty.,Withheld Qty.,Vested Qty.,Unvested Qty.,Deferred / Pending Release Qty.,Sellable Qty.,Est. Market Value,Grant Number,Cancelled Qty.,Pending Sale Qty.,Blocked Qty.,Type,Class,Status,Vest Period,Vest Date,Deferred Until,Granted Qty.,Other Reason for cancelled qty,Cancelled Qty.,Date Cancelled,Vested Qty.,Released Qty,Released Amount,Sellable Qty.,Blocked Qty.,Blocked Share Qty.,Total Taxes Paid,Sellable Qty.,Pending Sale Qty.,Sellable Est. Market Value,Est. Cost Basis (per share):,Est. Taxable Gain/Loss (per share):,Tax Status,Shares Traded for taxes,Tax Status,Tax Description,Taxable Gain,Effective Tax Rate,Withholding Amount,Total Estimated Tax Withholding,Dividend,Dividend Record Date,Dividend Payable Date,Dividend Cancel Date,Dividend Release Date,Dividend Type,Dividend Per Share,Dividend Market Value,Dividend Cash,Dividend Share,Release Dividend Shares,Dividend Fractional Shares Remaining,Dividend Market Value at Release,Cash-in-Lieu,Blocked,Blocked Type,Release Date
Grant,NTSK,31-AUG-2023,Stock,15000,,12187,2813,,0,"$41,829.31 ",RU1420,0,0,,RSU,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,1,07/01/2023,,937,,0,,937,937,$0.00 ,0,0,,"$9,044.00 ",,,,,,,476,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Federal-37,"$17,803.00 ",37%,"$6,590.74 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,OASDI,$0.00 ,6.2%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Medicare,"$17,803.00 ",1.45%,$258.14 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Medicare0,$0.00 ,0%,$0.00 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Add.Medicare,"$17,803.00 ",0.9000000000000001%,$160.23 ,,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,CA-State,"$17,803.00 ",10.23%,"$1,821.25 ",,,,,,,,,,,,,,,,,,
Tax Withholding,,,,,,,,,,,RU1420,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,CA-SDI-Man,"$17,803.00 ",1.2%,$213.64 ,,,,,,,,,,,,,,,,,,
Vest Schedule,,,,,0,,,,,,RU1420,,,,,,,2,10/01/2023,,938,,0,,938,938,$0.00 ,0,0,,"$9,063.00 ",,,,,,,477,Paid at Vest,,,,,,,,,,,,,,,,0,0,$19.00 ,$0.00 ,,,
