Symbol,ETP Name,Asset Class,Equity: Style Box,Morningstar Category,Net Expense Ratio
FBDC,FT Confluence BDC & Specialty Finance Income ETF,Sector Equity,Small Value,Financial,12.44
VPC,Virtus Private Credit ETF,Taxable Bond,Small Value,Nontraditional Bond,10.6
BIZD,VanEck BDC Income ETF,Sector Equity,Small Value,Financial,9.69
KBWD,Invesco KBW High Dividend Yield Financial ETF,Sector Equity,Small Value,Financial,5.39
HYIN,WisdomTree Private Credit & Alternative Income Fund,Taxable Bond,Small Value,Nontraditional Bond,4.34
BDRY,Breakwave Dry Bulk Shipping ETF,Sector Equity,Large Value,Miscellaneous Sector,3.5
CEFZ,RiverNorth Active Income ETF,Allocation,Mid Value,Global Moderately Conservative Allocation,3.36
TXXD,21Shares 2x Long Dogecoin ETF,Miscellaneous,--,Digital Assets,3.36
YYY,Amplify CEF High Income ETF,Allocation,Large Blend,Tactical Allocation,3.23
ETCG,Grayscale Ethereum Classic Trust (ETC),Miscellaneous,--,Digital Assets,2.5
ETHE,Grayscale Ethereum Staking ETF,Miscellaneous,--,Digital Assets,2.5
BCHG,Grayscale Bitcoin Cash Trust (BCH),Miscellaneous,--,Digital Assets,2.5
LTCN,Grayscale Litecoin Trust (LTC),Miscellaneous,--,Digital Assets,2.5
FILG,Grayscale Filecoin Trust (FIL),Miscellaneous,--,Digital Assets,2.5
SKDD,GraniteShares 2x Short SK Hynix Daily ETF,Miscellaneous,--,Trading--Inverse Equity,2.2
HBTC,Fortuna Hedged Bitcoin Fund,Miscellaneous,--,Digital Assets,1.97
FXED,Sound Enhanced Fixed Income ETF,Allocation,Small Value,Conservative Allocation,1.89
STLU,2x Stellar ETF,Miscellaneous,--,Digital Assets,1.85
CHNU,2x Chainlink ETF,Miscellaneous,--,Digital Assets,1.85
CRDX,2x Cardano ETF,Miscellaneous,--,Digital Assets,1.85
SUIL,2x Sui ETF,Miscellaneous,--,Digital Assets,1.85
AVAZ,2x Avalanche ETF,Miscellaneous,--,Digital Assets,1.85
XRPI,XRP ETF,Miscellaneous,--,Digital Assets,1.68
DVDN,Kingsbarn Dividend Opportunity ETF,Sector Equity,Small Value,Real Estate,1.65
SOLZ,Solana ETF,Miscellaneous,--,Digital Assets,1.64
TTOP,21Shares FTSE Crypto 10 Index ETF,Miscellaneous,--,Digital Assets,1.57
TSII,REX TSLA Growth & Income ETF,Miscellaneous,--,Trading--Leveraged Equity,1.52
APLX,Tradr 2X Long APLD Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.51
DOJE,REX-Osprey DOGE ETF,Miscellaneous,--,Digital Assets,1.5
GMEU,T-Rex 2X Long GME Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
CRWU,T-REX 2X Long CRWV Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
SMUP,T-REX 2X Long SMR Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
GLXU,T-REX 2X Long GLXY Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
CCUP,T-REX 2X Long CRCL Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
AFRU,T-REX 2X Long AFRM Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
KTUP,T-REX 2X Long KTOS Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
TTDU,T-REX 2X Long TTD Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
CRCD,T-REX 2X Inverse CRCL Daily Target ETF,Miscellaneous,--,Trading--Inverse Equity,1.5
CORD,T-REX 2X Inverse CRWV Daily Target ETF,Miscellaneous,--,Trading--Inverse Equity,1.5
BMNU,T-REX 2X Long BMNR Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
EOSU,T-Rex 2X Long Eose Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
AXTU,T-REX 2X Long AXTI Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
ASUP,T-REX 2X Long ASTS Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
LITU,T-Rex 2X Long Lite Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
TEUP,T-Rex 2X Long TE Daily Target ETF,Miscellaneous,Small Value,Trading--Leveraged Equity,1.5
SPAL,GraniteShares 2x Long SpaceX Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
SPAX,T-REX 2X Long SPCX Daily Target ETF,Miscellaneous,Large Growth,Trading--Leveraged Equity,1.5
BBUL,GraniteShares 2x Long BB Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
SKUU,Graniteshares 2x Long SK Hynix Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
BTDL,GraniteShares 2x Long BTDR Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
TDCL,GraniteShares 2x Long TDC Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.5
LITZ,Tradr 2X Short LITE Daily ETF,Miscellaneous,--,Trading--Inverse Equity,1.49
MPWX,Tradr 2X Long MPWR Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.49
CPNX,Tradr 2X Long CPNG Daily ETF,Miscellaneous,Mid Growth,Trading--Leveraged Equity,1.49
AXTX,Tradr 2X Long AXTI Daily ETF,Miscellaneous,Small Growth,Trading--Leveraged Equity,1.49
XNDX,Tradr 2X Long XNDU Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.49
CBRZ,Tradr 2X Short CBRS Daily ETF,Miscellaneous,--,Trading--Inverse Equity,1.49
SPCM,Tradr 2X Long SpaceX Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.49
RMBX,Tradr 2X Long RMBS Daily ETF,Miscellaneous,Small Growth,Trading--Leveraged Equity,1.49
TTMX,Tradr 2X Long TTMI Daily ETF,Miscellaneous,Small Growth,Trading--Leveraged Equity,1.49
CIEX,Tradr 2X Long CIEN Daily ETF,Miscellaneous,Mid Growth,Trading--Leveraged Equity,1.49
QNTU,Tradr 2x Long QNT Daily ETF,Miscellaneous,Small Growth,Trading--Leveraged Equity,1.49
AAOZ,Tradr 2X Short AAOI Daily ETF,Miscellaneous,Small Growth,Trading--Inverse Equity,1.49
ORCZ,Tradr 2X Short ORCL Daily ETF,Miscellaneous,Large Blend,Trading--Inverse Equity,1.49
CLSX,Tradr 2X Long CLSK Daily ETF,Miscellaneous,Small Value,Trading--Leveraged Equity,1.46
ZVOL,Volatility Premium Plus ETF,Miscellaneous,--,Trading--Inverse Equity,1.42
BTAL,AGF U.S. Market Neutral Anti-Beta Fund,Alternative,Mid Value,Equity Market Neutral,1.4
YBST,GraniteShares YieldBOOST Single Stock Universe ETF,Nontraditional Equity,--,Derivative Income,1.38
YBTY,GraniteShares YieldBOOST TopYielders ETF,Nontraditional Equity,--,Derivative Income,1.38
AMAX,Adaptive Hedged Multi-Asset Income ETF,Taxable Bond,Large Blend,Nontraditional Bond,1.36
APPX,Tradr 2X Long APP Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.36
SHRT,Gotham Short Strategies ETF,Miscellaneous,Mid Blend,Trading--Inverse Equity,1.35
YMAG,YieldMax Magnificent 7 Fund of Option Income ETFs,U.S. Equity,--,Large Blend,1.34
TXBC,21Shares FTSE Crypto 10 ex-BTC Index ETF,Miscellaneous,--,Digital Assets,1.34
EVNT,AltShares Event-Driven ETF,Alternative,Small Value,Event Driven,1.33
YMAX,YieldMax Universe Fund of Option Income ETFs,Nontraditional Equity,Mid Blend,Derivative Income,1.33
KORU,Direxion Daily South Korea Bull 3X Shares,Miscellaneous,Large Blend,Trading--Leveraged Equity,1.32
ULTI,REX IncomeMax Option Strategy ETF,Nontraditional Equity,Mid Growth,Derivative Income,1.32
MAXI,Simplify Bitcoin Strategy ETF,Miscellaneous,--,Digital Assets,1.31
QBTX,Tradr 2X Long QBTS Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
AMKL,Defiance Daily Target 2X Long AMKR ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
AMPU,Defiance Daily Target 2X Long AMPX ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
ASTY,Defiance Daily Target 2X Long Asts ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
OSSL,Defiance Daily Target 2X Long OSS ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
MUZ,Defiance Daily Target 2X Short MU ETF,Miscellaneous,--,Trading--Inverse Equity,1.31
WYFL,Defiance Daily Target 2X Long Wyfi ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
VELL,Defiance Daily Target 2X Long VELO ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
INFH,Defiance Daily Target 2X Long INFQ ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
SPCU,Defiance Daily Target 2X Long SPCX ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
SPCQ,Defiance Daily Target 2X Short SPCX ETF,Miscellaneous,--,Trading--Inverse Equity,1.31
DRAL,Defiance Daily Target 2X Long DRAM ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
PUR,Defiance Daily Target 2X Long PURR ETF,Miscellaneous,--,Trading--Leveraged Equity,1.31
UPSX,Tradr 2X Long UPST Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
ARCX,Tradr 2X Long ACHR Daily ETF,Miscellaneous,Small Blend,Trading--Leveraged Equity,1.3
RGTU,Tradr 2X Long RGTI Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
QUBX,Tradr 2X Long QUBT Daily ETF,Miscellaneous,Small Growth,Trading--Leveraged Equity,1.3
ASTX,Tradr 2X Long ASTS Daily ETF,Miscellaneous,Large Growth,Trading--Leveraged Equity,1.3
CWVX,Tradr 2X Long CRWV Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
SMU,Tradr 2X Long SMR Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
CEGX,Tradr 2X Long CEG Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
LABX,Tradr 2X Long ALAB Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
JOBX,Tradr 2X Long JOBY Daily ETF,Miscellaneous,Small Blend,Trading--Leveraged Equity,1.3
CRDU,Tradr 2X Long CRDO Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
COZX,Tradr 2X Long CORZ Daily ETF,Miscellaneous,--,Trading--Miscellaneous,1.3
NXPX,Tradr 2X Long NXPI Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
MCHU,Tradr 2X Long MCHP Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
ONX,Tradr 2X Long ON Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.3
BTF,CoinShares Bitcoin and Ether ETF,Miscellaneous,--,Digital Assets,1.27
CGV,Conductor Global Equity Value ETF,International Equity,Mid Value,Foreign Small/Mid Value,1.25
HFSP,TradersAI Large Cap Equity & Cash ETF,Nontraditional Equity,Large Blend,Long-Short Equity,1.25
YFYA,Yields for You Strategy A ETF,Taxable Bond,Large Blend,Ultrashort Bond,1.25
ORO,Arrow Valtoro ETF,Miscellaneous,--,Digital Assets,1.25
RAM,Roundhill T-REX 2x Long DRAM Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.25
HYNX,T-REX 2X Long SKHY Daily Target ETF,Miscellaneous,--,Trading--Leveraged Equity,1.25
JOJO,ATAC Credit Rotation ETF,Taxable Bond,--,Multisector Bond,1.24
QIS,Simplify Multi-Qis Alternative ETF,Alternative,Large Blend,Multistrategy,1.21
UNG,"United States Natural Gas Fund, LP",Commodities,--,Commodities Focused,1.17
HIPS,GraniteShares HIPS US High Income ETF,Allocation,Small Value,Aggressive Allocation,1.17
XOMO,Yieldmax XOM Option Income Strategy ETF,Nontraditional Equity,--,Derivative Income,1.17
SLVX,Nicholas Silver Income ETF,Sector Equity,Small Growth,Equity Precious Metals,1.16
UBRL,GraniteShares 2x Long UBER Daily ETF,Miscellaneous,--,Trading--Leveraged Equity,1.15
TQQY,GraniteShares YieldBOOST QQQ ETF,Nontraditional Equity,--,Derivative Income,1.15
YSPY,GraniteShares YieldBOOST SPY ETF,Nontraditional Equity,--,Derivative Income,1.15
CRDD,Cardano ETF,Miscellaneous,--,Digital Assets,1.15
GOOY,YieldMax GOOGL Option Income Strategy ETF,Nontraditional Equity,--,Derivative Income,1.14
ISSB,Incomestkd 1x US Stocks & 1x Bitcoin Premium ETF,Miscellaneous,Large Blend,Digital Assets,1.14
ISBG,Incomestkd 1x Bitcoin & 1x Gold Premium ETF,Miscellaneous,--,Digital Assets,1.14
USOY,Defiance Oil Enhanced Options Income ETF,Nontraditional Equity,--,Equity Hedged,1.12
YQQQ,YieldMax Short N100 Option Income Strategy ETF,Nontraditional Equity,--,Derivative Income,1.11
USLV,Direxion Daily Silver Bull 2X ETF,Miscellaneous,--,Trading--Leveraged Equity,1.1
NVDY,YieldMax NVDA Option Income Strategy ETF,Nontraditional Equity,--,Derivative Income,1.09
AMZY,YieldMax AMZN Option Income Strategy ETF,Nontraditional Equity,--,Derivative Income,1.09
KNOW,Fundamentals First ETF,Allocation,Mid Blend,Global Moderately Aggressive Allocation,1.09
